Committee Name|Committee ID|Date Received|Date of Billing|Creditor Name|Creditor Address|Description|Amount Unpaid|Paid|Date Paid|Amount Paid|unknownNumeric
JAYNE SNYDER FOR CITY COUNCIL|08CAC01321|04/27/2009|04/15/2009|RICHTERS BRINKMAN|PO BOX 83481, LINCOLN, NE|CONTRACT LABOR, REIMBURSE POSTAGE & TELEPHONE|2973.52|0||0|4498
JAYNE SNYDER FOR CITY COUNCIL|08CAC01321|03/30/2009|03/23/2009|GOLDENROD DIGITAL COLOR PRINT |2801 CORNHUSKER HWY, LINCOLN, NE|MAILING|470.8|0||0|4381
NEBRASKANS FOR LOCAL COMMUNITY AND TRIBAL SELF-REL|06BQC00131|01/28/2009|07/28/2007|FIELDWORKS|2852 CONNECTICUT AVENUE NW|FINAL PROGRAM EXPENSES- WAGES|0|1|12/31/2007|14434.88|4348
NEBRASKANS FOR LOCAL COMMUNITY AND TRIBAL SELF-REL|06BQC00131|01/28/2009|08/02/2007|FIELDWORKS|2852 CONNECTICUT AVENUE NW|FINAL PROGRAM EXPENSES-WAGES|0|1|12/30/2007|34434.88|4348
NEBRASKANS FOR LOCAL COMMUNITY AND TRIBAL SELF-REL|06BQC00131|01/28/2009|07/27/2006|FIELDWORKS|2852 CONNECTICUT AVENUE NW|FINAL PROGRAM EXPENSES - WAGES|0|1|12/31/2006|34434.88|4348
SOUTHWEST VOTERS FOR COOK (DISTRICT 3)|99CAC00003|06/12/2007|04/11/2007|GOLDEN PRINTING INC|2801 CORNHUSKER HIGHWAY LINCOLN,NE|PRINTING AND MAILING|0|1|05/04/2007|450|4907
MAXWELL FOR CITY COUNCIL|09CAC01336|05/04/2009|03/24/2009|CHARLES F MAXWELL JR|4928 NO 134TH STREET OMAHA, NE 68164|INSTALL LARGE CAMPAIGN SIGNS ALWAY GREENER LAWN|490.82|||0|4404
MAXWELL FOR CITY COUNCIL|09CAC01336|05/04/2009|03/04/2009|AUTOMATIC PRINTING COMPANY|1713 CUMING STREET, OMAHA, NE|CAMPAIGN LEAFLET PRINTING|0|1|04/20/2009|1784.76|4404
MAXWELL FOR CITY COUNCIL|09CAC01336|05/04/2009|03/04/2009|AUTOMATIC PRINTING COMPANY|1713 CUMING STREET OMAHA,NE 68102|CAMPAIGN LEAFLET PRINTING|468.71|||0|4404
PAM BROWN FOR LEGISLATURE|99CAC00036|03/13/2009|06/15/2007|NE ACCT. & DISCLOSURE COMM.|PO BOX 95086, LINCOLN, NE 68509|FINE, LATE REPORT|0|1|12/31/2008|750|4491
GARWOOD FOR LEGISLATURE |08CAC01078|01/16/2009|05/07/2008|ACCOUNTING PLUS|100 SOUTH PEARL|AMENDEMENTS|0|1|12/24/2008|50|5959
JIM SUTTLE FOR MAYOR OF OMAHA|08CAC01237|05/05/2009|03/15/2009|JIM SUTTLE|6054 COUNTRY CLUB OAKS PLACE, OMAHA, NE|1ST HALF MARCH 2009 EXPENSES|0|1|03/27/2009|526.65|4986
VOKAL FOR MAYOR|08CAC01312|03/10/2009|03/05/2009|PURE LIGHT PRODUCTIONS|3601 CALVERT ST STE 18 LINCOLN, NE 68506|VIDEO SHOOT|398.04|0||0|4372
STOTHERT FOR LEGISLATURE|06CAC00766|02/03/2009|06/27/2008|JEAN STOTHERT|5909 SO. 118TH PLZ, OMAHA, NE 68137|PERSONAL PAYMENT OF INVOICE ON BEHALF OF CAMPAIGN|0|1|12/31/2008|4100|5995
STOTHERT FOR LEGISLATURE|06CAC00766|02/03/2009|06/27/2007|JEAN STOTHERT |5909 SO 118TH PLZ, OMAHA, NE 68137|PERSONAL PAYMENT OF INVOICE ON BEHALF OF CAMPAIGN|0|1|12/30/2008|4100|5995
STOTHERT FOR LEGISLATURE|06CAC00766|11/13/2007|04/01/2006|PROTEXTER CONSULTING|17319 O STREET OMAHA 68135|CAMPAIGN MANAGEMENT/CONSULTING|0|1|12/30/2008|1227.29|5315
NOWAK FOR LEGISLATURE|07CAC01037|05/28/2009|09/28/2007|AUTOMATIC PRINTING||PALM CARDS|0|1|03/01/2008|478.83|4950
COMMITTEE TO ELECT JERRY RYAN LEGISLATIVE DIST.45|99CAC00698|01/30/2006|09/26/2004|JERRY RYAN                    |                                                  |REIMBURSEMENT TO VARIOUS VENDORS                  |0|1|12/31/2005|2850.63|4000
COMMITTEE TO ELECT JERRY RYAN LEGISLATIVE DIST.45|99CAC00698|01/30/2006|10/18/2004|JERRY RYAN                    |                                                  |REIMBURSEMENT TO VARIOUS VENDORS                  |0|1|12/31/2005|951.88|4000
COMMITTEE TO ELECT JERRY RYAN LEGISLATIVE DIST.45|99CAC00698|03/20/2007|12/31/2005|BRUMBAUGH AND QUANDAHL, PC|4885 S 118TH ST OMAHA NE 68137|SIGNS|0|1|12/31/2006|5661.96|5429
JIM SUTTLE FOR MAYOR OF OMAHA|08CAC01237|04/06/2009|02/15/2009|SUTTLE, JIM|6054 COUNTRY CLUB OAKS PLACE, OMAHA, NE|PER EXPENSE REPORT 1ST HALF FEB 200902152009|0|1|03/23/2009|429.69|4392
JIM SUTTLE FOR MAYOR OF OMAHA|08CAC01237|04/06/2009|02/28/2009|SUTTLE, JIM|6054 COUNTRY CLUB OAKS PLACE, OMAHA, NE|PER EXPENSE REPORT 2ND HALF FEB 2009|0|1|03/23/2009|405.92|4392
JIM SUTTLE FOR MAYOR OF OMAHA|08CAC01237|04/06/2009|03/15/2009|JIM SUTTLE|6054 COUNTRY CLUB OAKS PLACE, OMAHA, NE|1ST HALF MARCH 2009 EXPENSES|526.65|0||0|4392
COMMITTEE TO ELECT JERRY RYAN LEGISLATIVE DIST.45|99CAC00698|03/20/2007|08/30/2004|BRUMBAUGH & QUANDAHL          |                                                  |LAMAR OUTDOOR ADVERTISING FOR BILLBOARDS          |0|1|12/31/2006|3385|5429
COMMITTEE TO ELECT JERRY RYAN LEGISLATIVE DIST.45|99CAC00698|03/20/2007|10/01/2004|BRUMBAUGH & QUANDAHL          |                                                  |SEILER & ASSOCIATES FOR YARD SIGNS                |0|1|12/31/2006|2276.96|5429
COMMITTEE TO ELECT JERRY RYAN LEGISLATIVE DIST.45|99CAC00698|03/20/2007|08/30/2004|BRUMBAUGH & QUANDAHL PC       |4885 S 118TH STREET STE 100, OMAHA NE             |LAMAR OUTDOOR ADV. FOR BILLBOARDS                 |0|1|12/30/2006|3385|5429
RAY AGUILAR FOR LEGISLATURE|99CAC00411|05/02/2000|03/30/2000|DESIGN FOUR, INC              |8939 L ST OMAHA NE                                |YARD SIGN MATERIALS                               |0|1|04/05/2000|1938.3|2194
RAY AGUILAR FOR LEGISLATURE|99CAC00411|05/02/2000|03/30/2000|FROSTY'S SPECIALTY            |134 N 13TH ST LINCOLN NE                          |ADVERTSING STICKERS                               |0|1|04/07/2000|278.86|2194
RAY AGUILAR FOR LEGISLATURE|99CAC00411|10/11/2000|05/25/2000|PRENSA LATINA                 |PO BOX 1287 GRAND ISLAND NE 68802                 |NEWSPAPER ADVERTISING                             |0|1|07/01/2000|100|2196
JAYNE SNYDER FOR CITY COUNCIL|08CAC01321|06/15/2009|03/19/2009|GOLDENROD DIGITAL COLOR PRINT |2801 CORNHUSKERS HWY, LINCOLN, NE|PRINTING & REPRODUCTION|0|1|05/08/2009|10004.5|4956
JAYNE SNYDER FOR CITY COUNCIL|08CAC01321|06/15/2009|04/15/2009|RICHTERS BRINKMAN|PO BOX 83481, LINCOLN, NE|CONTRACT LABOR, REIMBURSE POSTAGE & TELEPHONE|0|1|05/08/2009|2973.52|4956
JAYNE SNYDER FOR CITY COUNCIL|08CAC01321|06/15/2009|04/03/2009|GOLDENROD DIGITAL COLOR PRINT |2801 CORNHUSKER HWY, LINCOLN, NE|MAILING, POSTAGE, PRINTING & REPRODUCTION|0|1|05/08/2009|4663.09|4956
SCUDDER FOR REGENT|07CAC01038|10/27/2008|10/05/2008|GOLDENROD PRINTING|2801 CORNHUSKER HWY LINCOLN, NE 68504|10/1 ABSENTEE BALLOT MAILING|196.94|0||0|5374
CAROL HUDKINS LEGISLATURE COMMITTEE|99CAC00318|01/20/2009|12/31/2008|CAROL HUDKINS|MALCOLM, NE |MILEAGE, LUNCHES, TRAVEL & SUPPLIES|1995.98|0||0|5983
FAMILIES FOR RYAN HINSLEY|08CAC01226|01/21/2009|09/13/2008|HEARTLAND SIGNS|3640 S 138 ST OMAHA, NE 68144|25- 4X6 CORO SIGNS 5000 POSTCARDS|2214.9|0||0|5986
GAMBLING WITH THE GOOD LIFE (DISSOLVED 1998)|99BQC00013|01/02/2009|10/13/2006|BLACKWELL, SANERS PEPER MARTIN||LEGAL SERVICES|0|1|06/28/2008|7030.42|4612
JAYNE SNYDER FOR CITY COUNCIL|08CAC01321|01/26/2009|12/16/2008|GOLDENROD DIGITAL COLOR PRINT |2801 CORNHUSKER HWY LINCOLN, NE 68504|MAILING & POSTAGE|585.76|0||0|6392
JAYNE SNYDER FOR CITY COUNCIL|08CAC01321|01/26/2009|12/17/2008|GOLDENROD DIGITAL COLOR PRINT|2801 CORNHUSKER HWY LINCOLN NE 68504|PRINTING & REPRODUCTION|255.73|0||0|6392
JAYNE SNYDER FOR CITY COUNCIL|08CAC01321|01/26/2009|12/31/2008|RICHTERS BRINKMAN LLC|PO BOX 83481 LINCOLN, NE 68501|CONTRACT LABOR|2500|0||0|6392
JAYNE SNYDER FOR CITY COUNCIL|08CAC01321|01/26/2009|12/30/2008|RICHTERS BRINKMAN LLC|PO BOX 83481 LINCOLN, NE 68501|REIMBURSEMENT: FOOD|322.55|0||0|6392
DANEK FOR DISTRICT #1|99CAC00557|06/08/2001|03/08/2001|GOLDENROD PRINTING            |2801 CORNHUSKER                                   |750 YARDS SIGNS W/WIRES                           |0|1|04/18/2001|2300|2649
JAYNE SNYDER FOR CITY COUNCIL|08CAC01321|03/09/2009|12/17/2008|GOLDENROD DIGITAL COLOR PRINT|2801 CORNHUSKER HWY LINCOLN NE 68504|PRINTING & REPRODUCTION|0|1|01/12/2009|255.73|6129
JAYNE SNYDER FOR CITY COUNCIL|08CAC01321|03/09/2009|12/16/2008|GOLDENROD DIGITAL COLOR PRINT |2801 CORNHUSKER HWY LINCOLN, NE 68504|MAILING & POSTAGE|0|1|01/12/2009|585.76|6129
CITIZENS TO ELECT BRIAN BUESCHER|08CAC01319|03/09/2009|02/05/2009|FIELD CLUB OF OMAHA|3615 WOOLWORTH OMAHA, NE 68105|CATERING|590.64|0||0|4368
CITIZENS TO ELECT BRIAN BUESCHER|08CAC01319|03/09/2009|03/03/2009|CORNERSTONE/MAVERICK POLITICAL|201 N 14TH ST LINCOLN, NE 68508|PRINTING OF BROCHURES|1210.76|0||0|4368
CITIZENS TO ELECT BRIAN BUESCHER|08CAC01319|03/09/2009|03/03/2009|SIELER & ASSOCIATES|7801 WOOLWORTH AVE. OMAHA, NE 68124|ASSORTED YARD SIGNS|2630.43|0||0|4368
CITIZENS TO ELECT BRIAN BUESCHER|08CAC01319|03/09/2009|02/13/2009|BRIAN BUESCHER|1322 S 35TH AVE OMAHA, NE 68105|PRINTING SERVICES|182.17|0||0|4368
CITIZENS TO ELECT BRIAN BUESCHER|08CAC01319|03/09/2009|01/25/2009|BRIAN BUESCHER|1322 S 35TH AVE OMAHA NE 68105|POSTAGE|168|0||0|4368
FRANK BROWN FOR CITY COUNCIL|99CAC00151|03/10/2009|02/09/2009|SIGN PRO OF OMAHA|2332 CORNHUSKER RD, OMAHA, NE|BUS BENCH SIGNS|1000|0||0|4370
FRANK BROWN FOR CITY COUNCIL|99CAC00151|03/10/2009|03/02/2009|MURANTE REAL ESTATE|2411 O STREET, OMAHA, NE|LEASE OF CAMPAIGN OFFICE|400|0||0|4370
DAUB FOR MAYOR 2009 |08CAC01150|03/10/2009|12/19/2008|OMAHA PUBLIC POWER DISTRICT |444 S 16TH ST OMAHA, NE 68102|ELECTRICAL SERVICE|0|1|01/08/2009|287.71|4371
DAUB FOR MAYOR 2009 |08CAC01150|03/10/2009|12/30/2008|REDBARN TV|7502 OMAHA TRACE ST OMAHA, NE 68122|INTERVIEW/PRODUCTION FOR WEBSITE|0|1|01/08/2009|2514.5|4371
DAUB FOR MAYOR 2009 |08CAC01150|03/10/2009|01/28/2009|AXIOM STRATEGIES|2345 GRAND BLVD, KANSAS CITY, MO|SURVEY CHARGES|10872|0||0|4371
DAUB FOR MAYOR 2009 |08CAC01150|03/10/2009|02/13/2009|SHURSON PUBLISHING|131 N. 31ST AVENUE, OMAHA, NE|MARCH 09 ADVERTISING|440|0||0|4371
DAUB FOR MAYOR 2009 |08CAC01150|03/10/2009|02/17/2009|CRICKET COMMUNICATIONS|13421 W. CENTER ROAD, OMAHA, NE|ACTIVIATION/MONTHLY CHARGE/CELL|360.27|0||0|4371
DAUB FOR MAYOR 2009 |08CAC01150|03/10/2009|02/26/2009|CAPITOL HILL CLUB|300 1ST STREET SE, WASHINGTON, DC|ROOM FOOD CHARGES FOR FUNDRAISER|1140.48|0||0|4371
DAUB FOR MAYOR 2009 |08CAC01150|03/10/2009|03/02/2009|BEN SALAZAR/NUESTRO MUNDO|3661 DAVENPORT ST, OMAHA, NE|MARCH ISSUE|500|0||0|4371
CITIZENS FOR WESELY|99CAC00006|02/03/2003|06/01/1999|GOLDENROD PRINTING            |329 S. 11TH ST.                                   |INVITATIONS & POSTAGE                             |0|1|10/15/1999|1060|334
DAUB FOR MAYOR 2009 |08CAC01150|03/10/2009|03/03/2009|SELDIN DEVELOPMENT & MGMT CO|13057 W. CENTER RD, OMAHA, NE|MARCH RENT|2000|0||0|4371
JIM SUTTLE FOR MAYOR OF OMAHA|08CAC01237|03/10/2009|02/15/2009|SUTTLE, JIM|6054 COUNTRY CLUB OAKS PLACE, OMAHA, NE|PER EXPENSE REPORT 1ST HALF FEB 200902152009|429.69|0||0|4376
JIM SUTTLE FOR MAYOR OF OMAHA|08CAC01237|03/10/2009|02/28/2009|SUTTLE, JIM|6054 COUNTRY CLUB OAKS PLACE, OMAHA, NE|PER EXPENSE REPORT 2ND HALF FEB 2009|405.92|0||0|4376
JIM SUTTLE FOR MAYOR OF OMAHA|08CAC01237|03/10/2009|03/03/2009|MCKENNA'S BLUES BOOZE & BBQ|7425 PACIFIC STREET, OMAHA, NE|FUNDRAISER EXPENSE|616.03|0||0|4376
JIM SUTTLE FOR MAYOR OF OMAHA|08CAC01237|03/10/2009|02/01/2009|NGP SOFTWARE, INC.|1225 EYE STREET NW #1225, WASHINGTON, DC|REMAINDER DUE FOR ONLINE CONTRIBUTION MGMT SFTWARE|1947|0||0|4376
JIM SUTTLE FOR MAYOR OF OMAHA|08CAC01237|03/10/2009|01/30/2009|ALL MAKES OFFICE EQUIPMENT|2558 FARNAM STREET, OMAHA, NE|OFFICE FURNITURE RENTAL  FOR HQ|267.5|0||0|4376
JIM SUTTLE FOR MAYOR OF OMAHA|08CAC01237|03/10/2009|02/27/2009|ALL MAKES OFFICE EQUIPMENT|2558 FARNAM STREET, OMAHA, NE|OFFICE FURNITURE RENTAL FOR HQ|267.5|0||0|4376
JIM SUTTLE FOR MAYOR OF OMAHA|08CAC01237|03/10/2009|02/03/2009|SECRETPENQUIN DESIGN|1330 WEBSTER STREET, OMAHA, NE|FINAL PYMT OMAHANEXT.COM WEB DESIGN|4250|0||0|4376
CITIZENS FOR WESELY|99CAC00006|02/03/2003|06/05/1999|MARKER'S INC.                 |4140 S. 52ND ST.                                  |CAMPAIGN MATERIAL LAYOUT & DESIGN                 |0|1|08/26/2000|3000|334
CITIZENS FOR WESELY|99CAC00006|02/03/2003|04/21/1999|ENVOY PRODUCTIONS             |6910 PACIFIC ST., STE. 102                        |MEDIA PRODUCTION                                  |0|1|08/26/1999|7729.83|334
CITIZENS FOR WESELY|99CAC00006|02/03/2003|05/15/1999|NE DEMOCRATIC PARTY           |985 S. 27TH ST.                                   |COORDINATED CAMPAIGN                              |0|1|08/26/1999|3000|334
CITIZENS FOR WESELY|99CAC00006|02/03/2003|10/05/2001|MARKERS GRAPHIC DESIGN        |                                                  |CONSULTING/DESIGN                                 |0|1|03/05/2002|3837.42|334
CITIZENS FOR WESELY|99CAC00006|02/03/2003|12/11/2001|GOLDENROD PRINTING            |2801 CORNHUSKER                                   |PRINTING/CONSULTING                               |0|1|08/24/2002|1997.93|334
JAMES BROWN FOR METRO COMMUNITY COLLEGE|06CAC00995|03/25/2009|11/06/2006|GOLDENROD PRINTING|2801 CORNHUSKER HWY LINCOLN,NE|PRINTING/MAILING|0|1|03/23/2009|1001.13|6133
MAYHEW FOR SCHOOL BOARD|99CAC00560|05/15/2009|02/16/2009|GOLDENROD PRINTING|2801 CORNHUSKER HWY LINCOLN, NE 68504|LETTERHEAD & ENVELOPES|0|1|04/20/2009|297.46|4991
GARWOOD FOR LEGISLATURE |08CAC01078|01/16/2009|04/09/2008|ACCOUNTING PLUS|100 SOUTH PEARL STREET|REPORTING TO CFLA|0|1|12/24/2008|140|5959
GARWOOD FOR LEGISLATURE |08CAC01078|01/16/2009|04/14/2008|ACCOUNTING PLUS|100 SOUTH PEAL STREET|REPORTING TO CFLA|0|1|12/24/2008|180|5959
GARWOOD FOR LEGISLATURE |08CAC01078|01/16/2009|09/15/2008|ACCOUNTING PLUS|100 SO PEARL ST WAYNE, NE 68787|ACCOUNTING, REPORTING TO NADC, CONFERENCE|0|1|12/24/2008|318.75|5959
GARWOOD FOR LEGISLATURE |08CAC01078|01/16/2009|10/20/2008|ACCOUNTING PLUS|100 SOUTH PEARL STREET, WAYNE, NE |ACCOUNTING, CONSULTING, REPORTING|0|1|12/24/2008|160|5959
GARWOOD FOR LEGISLATURE |08CAC01078|01/16/2009|10/20/2008|KTIC RADIO|1011 N. LINCOLN, WEST POINT, NE 68788|ADVERTISING|0|1|10/20/2008|2322|5959
GARWOOD FOR LEGISLATURE |08CAC01078|01/16/2009|10/20/2008|THE WAYNE HERALD|SOUTH MAIN STREET, WAYNE, NE |ADVERTISING|0|1|10/20/2008|360|5959
CITIZENS TO ELECT BRIAN BUESCHER|08CAC01319|03/30/2009|02/05/2009|FIELD CLUB OF OMAHA|3615 WOOLWORTH OMAHA, NE 68105|CATERING|0|1|03/07/2009|590.64|4266
CITIZENS TO ELECT BRIAN BUESCHER|08CAC01319|05/19/2009|12/06/2008|BRIAN BUESCHER|1322 S 35TH AVE OMAHA, NE 68105|PD FEDEX KINKO'S FOR PRINTING SERVICES|0|1|05/07/2009|155.25|4535
CITIZENS TO ELECT BRIAN BUESCHER|08CAC01319|05/19/2009|12/10/2008|BRIAN BUESCHER|1322 S. 35TH AVE. OMAHA, NE 68105|PD FROGS FOR PRINTING SERVICES|0|1|05/08/2009|353.81|4535
CITIZENS TO ELECT BRIAN BUESCHER|08CAC01319|05/19/2009|01/23/2009|BRIAN BUESCHER|1322 S 35TH AVE OMAHA, NE 68105|PRINTING SERVICES|0|1|05/11/2009|906.43|4535
CITIZENS TO ELECT BRIAN BUESCHER|08CAC01319|05/19/2009|01/25/2009|BRIAN BUESCHER|1322 S 35TH AVE OMAHA NE 68105|POSTAGE|0|1|05/10/2009|168|4535
CITIZENS TO ELECT BRIAN BUESCHER|08CAC01319|05/19/2009|02/13/2009|BRIAN BUESCHER|1322 S 35TH AVE OMAHA, NE 68105|PRINTING SERVICES|0|1|05/12/2009|182.17|4535
CITIZENS TO ELECT BRIAN BUESCHER|08CAC01319|05/19/2009|03/20/2009|BUESCHER, BRIAN|1322 S. 35TH AVE, OMAHA, NE|OFFICE DEPOT - OFFICE SUPPLIES|0|1|05/05/2009|12.82|4535
CITIZENS TO ELECT BRIAN BUESCHER|08CAC01319|05/19/2009|03/21/2009|BUESCHER, BRIAN|1322 S. 35TH AVE, OMAHA, NE|OFFICE DEPOT - OFFICE SUPPLIES|0|1|05/09/2009|27.81|4535
BARBARA BAIER FOR COMMISSIONER|08CAC01090|01/12/2010|10/31/2008|GOLDENROD PRINTING|2801 CORNHUSKER HWY LINCOLN, NE 68510|POSTCARDS|0|1|02/22/2009|897.73|5665
BARBARA BAIER FOR COMMISSIONER|08CAC01090|01/12/2010|12/17/2008|GOLDENROD PRINTING|2801 CORNHUSKER HWY LINCOLN, NE 68510|MAILING|0|1|05/27/2009|1000|5665
RITA SANDERS FOR MAYOR|09CAC01386|01/28/2010|12/01/2009|JAMES TAYLOR, TAYLOR CONSULTAN|505 CORNHUSKER RD #131 BELLEVUE, NE 68005|MARKETING & PUBLIC RELATION SERVICES|1000|0||0|7042
CITIZENS FOR RESTORING RESPONSIBLE GOVERNMENT|07BQC00164|02/02/2009|11/30/2007|FAIRBURY JOURNAL-NEWS|PO BOX 415; FAIRBURY, NE 68352|NEWSPAPER ADS|0|1|03/18/2008|796.85|5534
HARTFIELD FOR LEGISLATURE (2008)|06CAC00863|01/17/2007|12/01/2006|GOLDENROD PRINTING||PRINTING PALM CARDS, PLEDGE CARDS, DOOR HANGERS|1151.81|0||0|5122
HARTFIELD FOR LEGISLATURE (2008)|06CAC00863|02/02/2009|12/01/2006|GOLDENROD PRINTING||PRINTING PALM CARDS, PLEDGE CARDS, DOOR HANGERS|0|1|04/01/2008|1151.81|5394
CITIZENS FOR RESTORING RESPONSIBLE GOVERNMENT|07BQC00164|02/02/2009|11/25/2007|KGMT-KUTT|414 4TH ST; FAIRBURY, NE 68352|RADIO ADS|0|1|04/17/2008|756|5534
CITIZENS FOR RESTORING RESPONSIBLE GOVERNMENT|07BQC00164|02/02/2009|11/01/2007|MCBATTAS PACKING & PRINTING |PO BOX 429; FAIRBURY, NE 68352|YARD SIGNS|0|1|03/06/2008|935.18|5534
CITIZENS FOR RESTORING RESPONSIBLE GOVERNMENT|07BQC00164|02/02/2009|05/03/2007|RESEARCH ASSOCIATES|PO BOX 5323 LINCOLN, NE 68505|CONDUCT OPINION POLL & ASSIST IN CAMPAIGN|0|1|04/17/2008|3000|5534
PEOPLE FOR PAUL SCHUMACHER|99CAC00328|05/03/2010|04/15/2010|COLFAX COUNTY PRESS|242 PINE ST, CLARKSON, NE|NEWSPAPER ADS - ESTIMATED AMOUNT|600|||0|6619
TERESA WHITEHEAD FOR LEGISLATURE|10CAC01422|05/03/2010|04/23/2010|GOLDENROD PRINTING|2801 CORNHUSKER HWY, LINCOLN, NE|4 X 8 SIGNS|775.75|||0|6623
GOVERNOR HEINEMAN COMMITTEE|05CAC00722|05/03/2010|03/31/2010|DIECKMANN, STACEY|4210 G STREET, LINCOLN, NE|BATCH RECONCILIATION SERVICES|0|1|04/14/2010|250|6625
AVERY FOR LEGISLATURE|05CAC00726|05/03/2010|04/06/2010|CONSPICUOUS MEDIA|2435 C STREET, LINCOLN, NE|WEB HOSTING|0|1|04/09/2010|300|6534
LATHROP FOR LEGISLATURE|05CAC00747|05/03/2010|02/25/2010|KJO CONSULTING|3437 N. 53RD, LINCOLN, NE|CONSULTING SERVICES|0|1|04/15/2010|1000|6629
NEBRASKANS FOR NESBITT|09CAC01388|05/03/2010|03/29/2010|RESEARCH ASSOCIATES|PO BOX 5323 LINCOLN, NE 68505|BROCHURES, SURVEY, BANNER, ADVERTISING|0|1|04/19/2010|4716.46|6633
NEBRASKANS FOR NESBITT|09CAC01388|05/03/2010|04/26/2010|NESBITT, THOMAS|8017 S. 57TH STREET, LINCOLN, NE 68516|MILEAGE, MOTELS, OFFICE SUPPLIES, POSTAGE, BOOTHS|5066.85|0||0|6633
BOUCHER FOR COUNTY ATTORNEY|09CAC01385|05/03/2010|04/15/2010|GOLDENROD PRINTING|2801 CORNHUSKER HWY, LINCOLN, NE|PRINTING|2903.55|||0|6757
LAKERS FOR GOVERNOR|10CAC01409|04/13/2010|03/31/2010|DAVID & ASSOCIATES|223 E 14TH ST, STE 150 HASTINGS, NE 68901|WEBSITE DEVELOPMENT COSTS|660.61|0||0|6704
LAKERS FOR GOVERNOR|10CAC01409|05/04/2010|04/09/2010|NEBRASKA DEMOCRATIC PARTY|1327 H ST SUITE 200 LINCOLN, NE 68508|REGISTERED VOTER FILE SUBSCRIPTION FEE|500|0||0|6634
LAKERS FOR GOVERNOR|10CAC01409|05/04/2010|04/20/2010|GOLDENROD PRINTING|2801 CORNHUSKER HWY LINCOLN, NE 68504|BUSINESS CARDS, STATIONERY, ENVELOPES, PLEDGE CARD|2260.91|0||0|6634
LAKERS FOR GOVERNOR|10CAC01409|05/04/2010|04/26/2010|JERRY BROZ|402 SHERWOOD DR. GRETNA, NE 68028|ACCOUNTING & REPORTING SERVICES|2000|0||0|6634
LAKERS FOR GOVERNOR|10CAC01409|05/04/2010|04/17/2010|LYNCH FARMS|331 3RD ST NW WAUCOMA, IA 52171|CATERING SERVICES SPRING GAME TAILGATE RECEPTION|1530|||0|6634
LAKERS FOR GOVERNOR|10CAC01409|05/04/2010|04/21/2010|ALL MAKES OFFICE EQUIP|2558 FARNAM ST OMAHA, NE 68131|OFFICE DESKS FOR OMAHA HQ OFFICE|271.78|0||0|6634
LAKERS FOR GOVERNOR|10CAC01409|05/04/2010|04/26/2010|JONATHAN A. DEGNER|343 N 76TH ST OMAHA, NE 68114|MILEAGE/MEET W/SUPPORTERS & STAFF|388.85|0||0|6634
OUR KIDS FIRST |09BQC00247|10/30/2009|10/21/2009|QUIZ GRAPHIC ARTS|305 SOUTH  16TH ST ORD, NE 68862|PRINTING  5,000 BROCHURES & MAILING, NEWSPAPER ADS|1981.09|||0|4550
OUR KIDS FIRST |09BQC00247|10/30/2009|10/26/2009|TONNA DRUDIK|213 NORTH 23RD ORD, NE 68862|REIMBURSEMENT FOR YARD SIGNS|602.31|0||0|4550
OUR KIDS FIRST |09BQC00247|10/30/2009|10/15/2009|QUIZ GRAPHIC ARTS|514 S 13TH ST OMAHA, NE 68102|NEWSPAPER ADS|994.5|0||0|4550
NEBRASKANS FOR BETTER ORAL HEALTH|08BQC00208|01/12/2009|10/20/2008|BAILEY LAUERMAN|1248 O STREET, STE 900 LINCOLN, NE 68508|MEDIA SERVICES|0|1|11/03/2008|31007.67|6266
OUR KIDS FIRST |09BQC00247|12/14/2009|10/26/2009|TONNA DRUDIK|213 NORTH 23RD ORD, NE 68862|REIMBURSEMENT FOR YARD SIGNS|0|1|10/27/2009|602.31|5549
NEBRASKANS FOR BETTER ORAL HEALTH|08BQC00208|10/28/2008|10/20/2008|BAILEY LAUERMAN|1248 O STREET, STE 900 LINCOLN, NE 68508|MEDIA SERVICES|31007.67|||0|5246
PEOPLE FOR PREISTER|99CAC00178|12/29/2009|12/31/2008|DON PREISTER|4522 BORMAN OMAHA, NE 68157|AUTO MILEAGE TO VARIOUS ACTIVITIES|0|1|12/28/2009|570|5546
DAUB FOR MAYOR 2009 |08CAC01150|02/03/2010|12/31/2008|THE HONORABLE HAL DAUB|314 N 97TH CT OMAHA, NE 68114|REIMBURSEMENTS/CONSULTING FEES/MISC. SUPPLIES/SM|0|1|01/30/2010|7127.16|6657
LANGEMEIER FOR LEGISLATURE|99CAC00670|01/30/2006|12/01/2004|TIME WARNER CABLE             |                                                  |ADVERTISING FEE                                   |0|1|04/12/2005|499.8|3894
JAYNE SNYDER FOR CITY COUNCIL|08CAC01321|01/26/2010|04/21/2009|GOLDENROD DIGITAL COLOR PRINT |2801 CORNHUSKER HWY LINCOLN,NE 68504|PRINTING AND REPRODUCTION|0|1|06/10/2009|2931.8|6865
LANGEMEIER FOR LEGISLATURE|99CAC00670|01/30/2006|10/22/2004|RINDER PRINTING|P.O. BOX 219|AG MAILING|0|1|01/14/2005|4263.6|3894
HOWARD FOR LEGISLATURE|99CAC00662|02/01/2008|11/03/2007|GOLDENROD PRINTING|2801 CORNHUSKER HWY  LINCOLN, NE|NEWSLETTER PRINTING & SORT|772.76|0||0|6518
